country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians
EGY,Egypt,2005,75523569.0,1.80570750612698,33.8446624523266,4.89506262607902,94456,4.5,11.2,4.8,4.9,71.825,67.138,,,21.0,0.1,29.3,5.4,2.2,0.5
EGY,Egypt,2010,82761235.0,1.98478311232528,32.5561683558734,4.79296134234826,214630,5.1,11.8,3.8,4.2,72.613,68.178,81.8,12.3,18.0,0.1,23.5,4.5,1.7,
EGY,Egypt,2019,98423595.0,2.03326217641077,33.7987207092348,5.22977934620923,195136,4.2,11.6,,4.6,74.162,69.599,,,12.0,0.1,18.9,,,0.8
ESH,Western Sahara,2005,,,,,,,8.1,,,,,,,,,52.9,,,
ESH,Western Sahara,2010,,,,,,,7.9,,,,,,,,,43.0,,,
ESH,Western Sahara,2019,,,,,,,7.2,,,,,,,,,34.1,,,
ERI,Eritrea,2005,2826659.0,3.85359976534787,38.615694358605,3.81563534901097,1098,1.5,7.0,3.1,5.3,60.786,56.709,,,209.0,1.1,59.4,,,0.1
ERI,Eritrea,2010,3170435.0,1.6061441982591,39.4833201122243,4.00008200767403,2117,2.2,6.8,2.1,3.4,64.262,60.191,40.6,47.6,149.0,0.9,51.6,,,
ERI,Eritrea,2019,,,,,5813,5.0,6.2,,3.0,68.162,63.79,,,89.0,0.7,45.0,,,
ESP,Spain,2005,43653155.0,1.68934904712031,14.2466354906707,16.6780219587746,1157248,3.7,9.2,4.1,7.7,83.5,77.0,,,19.0,0.4,4.0,2.5,3.4,4.5
ESP,Spain,2010,46576897.0,0.460408305051304,14.7934345762605,17.0541804817134,1431617,~0.0,19.9,4.8,9.0,84.7,78.7,92.1,4.4,17.0,0.4,3.4,2.5,3.2,3.7
ESP,Spain,2019,46796540.0,0.435388818489615,14.6670011075355,19.3785075224995,1314314,3,13.4,4.3,9.0,86.1,80.7,,,9.4,0.3,2.9,,,4.1
ETH,Ethiopia,2005,76346311.0,2.79832926449156,46.4907164931649,3.11343399421093,12164,11.8,5.4,3.6,4.1,57.639,54.846,,,341.0,1.7,77.9,39.7,,~0.0
ETH,Ethiopia,2010,87639964.0,2.78377094113393,44.9318132992387,3.30147328677588,26311,12.6,5.2,4.5,5.5,63.315,59.976,31.9,58.3,268.0,1.3,59.8,32.1,,~0.0
ETH,Ethiopia,2019,109224559.0,2.62001348207265,40.7829819073234,3.50113299760986,75605,11.1,5.4,4.7,4.0,68.165,64.35,,,151.0,1.0,45.8,,,0.1
FIN,Finland,2005,5246096.0,0.342248594286999,17.3392975411144,16.0270526668273,204431,2.8,8.4,6.0,8.0,82.3,75.5,,,7.4,0.1,3.2,2.5,7.1,3.2
FIN,Finland,2010,5363352.0,0.457494535465831,16.5225870152757,17.2295669112163,247800,3.0,8.4,6.5,8.9,83.2,76.7,91.5,1.9,6.6,0.1,2.7,2.5,5.9,3.0
FIN,Finland,2019,5515525.0,0.132641040791912,16.1451829725838,21.7207875455222,252247,2.8,8.1,7.1,9.5,84.6,79.2,,,4.7,0.1,2.1,,,3.8
FJI,Fiji,2005,821604.0,0.456735434086283,30.5342963276712,4.09455163314687,2980,0.7,4.6,5.1,3.6,67.938,64.788,,,20.0,,18.8,4.3,2.09,0.5
FJI,Fiji,2010,859818.0,0.721469406666264,29.0004396279213,4.81869418877018,3140,3.0,8.9,4.5,3.7,68.262,65.178,82.0,11.7,27.0,,19.6,4.5,,0.4
FJI,Fiji,2019,883483.0,0.684181932039617,29.5126222009931,5.44968041263952,4874,3.0,6.2,3.9,3.5,69.178,65.641,,,54.0,,20.0,,,0.8
FLK,Falkland Islands (the) [Malvinas],2005,,,,,,,,,,,,,,,,,,,
FLK,Falkland Islands (the) [Malvinas],2010,,,,,,,,,,,,,,,,,,,
FLK,Falkland Islands (the) [Malvinas],2019,,,,,,,1.2,,,,,,,,,,,,
